evaluation_id,timestamp,agent_run_id,config1_step_limit,config2_cost_limit,config3_temperature,config4_top_p,config5_max_tokens,config6_model_timeout,config7_env_timeout,config8_baseline,objective1_execution_time,objective2_model_improved,objective3_success,status,error_message
1,2025-09-19 16:11:12,mini_swe_agent_20250919_154743,22,8.042271454095108,0.00011437481734488664,0.3720993153686558,1037,41,43,2,1409.4721145629883,0.049,4.0,success,
2,2025-09-19 16:31:54,mini_swe_agent_20250919_161113,21,6.771717138023499,0.4191945144032948,0.7166975503570835,1244,57,40,2,1242.0613243579865,0.0,6.0,success,
3,2025-09-19 16:52:18,mini_swe_agent_20250919_163155,22,6.910828799120262,0.14038693859523377,0.2782913401763909,3381,59,46,2,1224.2335159778595,0.0,0.0,success,
4,2025-09-19 17:08:01,mini_swe_agent_20250919_165219,36,9.262246644526932,0.08504421136977791,0.13514930490959415,1120,57,41,2,943.106915473938,0.0,4.0,success,
5,2025-09-19 17:24:26,mini_swe_agent_20250919_170802,38,6.7321569948111195,0.6918771139504734,0.3839640679054567,2972,56,40,3,984.8310375213623,0.06425,8.0,success,
6,2025-09-19 17:46:16,mini_swe_agent_20250919_172427,38,8.042271454095108,0.00267349191917593,0.3720993153686558,1037,53,40,2,1310.3633561134338,0.0,0.0,success,
7,2025-09-19 18:03:13,mini_swe_agent_20250919_174617,38,9.214409153847475,0.08504421136977791,0.13514930490959415,1120,55,41,2,1016.305163860321,0.0,0.0,success,
8,2025-09-19 18:19:19,mini_swe_agent_20250919_180314,21,6.777852362082158,0.12187297679950493,0.7540399654692495,893,41,43,2,966.7363476753235,0.0,0.0,success,
9,2025-09-19 18:35:18,mini_swe_agent_20250919_181920,22,6.7321569948111195,0.7248031281375724,0.41217326052073255,2972,41,43,3,958.120386838913,0.0,7.0,success,
10,2025-09-19 18:57:10,mini_swe_agent_20250919_183519,35,6.779970063105573,0.6918771139504734,0.3839640679054567,2972,56,40,3,1312.7376828193665,0.0,0.0,success,
11,2025-09-19 19:14:22,mini_swe_agent_20250919_185712,36,6.571491849824768,0.7248031281375724,0.42882974707453086,2972,41,43,2,1032.1673424243927,0.0,0.0,success,
12,2025-09-19 19:30:26,mini_swe_agent_20250919_191424,36,6.7321569948111195,0.6918771139504734,0.3839640679054567,2972,57,41,2,963.7577624320984,0.0,0.0,success,
13,2025-09-19 19:47:43,mini_swe_agent_20250919_193027,22,9.3497841201425,0.08504421136977791,0.11985598129424363,1120,57,41,2,1036.6426310539246,0.0,0.0,success,
14,2025-09-19 20:08:24,mini_swe_agent_20250919_194744,38,9.262246644526932,0.08504421136977791,0.13514930490959415,1120,56,40,2,1241.3322026729584,0.0,0.0,success,
15,2025-09-19 20:31:44,mini_swe_agent_20250919_200825,38,6.7321569948111195,0.6571859227588742,0.3839640679054567,2972,56,40,2,1400.1162254810333,0.10675,7.0,success,
16,2025-09-19 20:45:58,mini_swe_agent_20250919_203145,36,6.905486081524341,0.08504421136977791,0.13065508478082216,1120,57,41,2,853.2656626701355,0.0,0.0,success,
17,2025-09-19 21:06:57,mini_swe_agent_20250919_204559,38,6.717269403370542,0.7498768933690477,0.13903232555897094,2945,56,40,3,1259.5304479599,0.0,0.0,success,
18,2025-09-19 21:24:50,mini_swe_agent_20250919_210658,36,9.088895653766329,0.6918771139504734,0.38865261771389475,2972,57,41,2,1072.5973472595215,0.0,0.0,success,
19,2025-09-19 21:40:24,mini_swe_agent_20250919_212451,37,9.277097996450474,0.03301429142299944,0.3801516764373524,1147,57,43,2,934.6464407444,0.0,0.0,success,
20,2025-09-19 22:01:19,mini_swe_agent_20250919_214025,36,6.6657405858643575,0.6918771139504734,0.35710431471442544,2972,57,41,2,1254.606770515442,0.0,0.0,success,
21,2025-09-19 22:23:01,mini_swe_agent_20250919_220120,38,9.288645373540366,0.11000794119990553,0.3839640679054567,2960,56,40,2,1302.2342331409454,0.0,6.0,success,
22,2025-09-19 22:48:48,mini_swe_agent_20250919_222302,38,6.7321569948111195,0.6918771139504734,0.3839640679054567,2972,57,40,3,1546.9300134181976,0.0,0.0,success,
23,2025-09-19 23:07:10,mini_swe_agent_20250919_224849,36,6.70571203907912,0.6670811074912968,0.13514930490959415,1132,57,41,2,1101.5799708366394,0.0,0.0,success,
24,2025-09-19 23:25:28,mini_swe_agent_20250919_230711,38,6.7321569948111195,0.6571859227588742,0.3839640679054567,2972,56,40,2,1098.1438953876495,0.0,0.0,success,
25,2025-09-19 23:43:05,mini_swe_agent_20250919_232529,38,6.7321569948111195,0.6918771139504734,0.3839640679054567,2972,56,40,3,1056.8433752059937,0.0,0.0,success,
