evaluation_id,timestamp,agent_run_id,config1_step_limit,config2_cost_limit,config3_temperature,config4_top_p,config5_max_tokens,config6_model_timeout,config7_env_timeout,config8_baseline,objective1_execution_time,objective2_model_improved,objective3_success,status,error_message
1,2025-10-03 22:20:15,mini_swe_agent_20251003_215730,23,8.042271454095108,0.00011437481734488664,0.3720993153686558,1038,42,44,2,1367.0551543235779,0.0,0.0,success,
2,2025-10-03 22:41:45,mini_swe_agent_20251003_222016,22,6.771717138023499,0.4191945144032948,0.7166975503570835,1245,58,41,2,1289.8924481868744,0.0,0.0,success,
3,2025-10-03 22:59:04,mini_swe_agent_20251003_224146,23,6.910828799120262,0.14038693859523377,0.2782913401763909,3382,59,46,2,1039.4560158252716,0.0,0.0,success,
4,2025-10-03 23:16:33,mini_swe_agent_20251003_225906,36,9.262246644526932,0.08504421136977791,0.13514930490959415,1121,58,42,2,1048.3185424804688,0.0,0.0,success,
5,2025-10-03 23:35:39,mini_swe_agent_20251003_231634,39,6.7321569948111195,0.6918771139504734,0.3839640679054567,2972,57,40,3,1146.4657428264618,0.0,6.0,success,
6,2025-10-03 23:52:25,mini_swe_agent_20251003_233540,40,8.237159580658876,0.2804439920644052,0.8103513956063396,882,49,58,2,1005.7270560264587,0.0,0.0,success,
7,2025-10-04 00:11:23,mini_swe_agent_20251003_235226,19,3.910200004827944,0.019366957870297075,0.7109519796459018,1270,45,50,1,1138.2374839782715,0.0,0.0,success,
8,2025-10-04 00:27:16,mini_swe_agent_20251004_001124,27,4.027100024340671,0.5893055369032842,0.729782524018838,879,48,54,2,953.1616005897522,0.0,0.0,success,
9,2025-10-04 00:46:28,mini_swe_agent_20251004_002717,11,6.751274841408581,0.6637946452197888,0.5634002008524778,3897,52,58,1,1151.1275310516357,0.0,0.0,success,
10,2025-10-04 01:02:52,mini_swe_agent_20251004_004629,14,8.651739020966666,0.3976768369855336,0.2488187774052395,3836,47,55,2,984.1845760345459,0.0,0.0,success,
11,2025-10-04 01:26:25,mini_swe_agent_20251004_010253,36,7.365705449389262,0.7509424340273372,0.41400850778005827,1479,58,49,3,1413.2753148078918,0.0,0.0,success,
12,2025-10-04 01:45:03,mini_swe_agent_20251004_012626,30,7.351870041463853,0.11474597295337519,0.9545403328363641,2124,52,48,1,1117.8342640399933,0.0,4.0,success,
13,2025-10-04 02:00:33,mini_swe_agent_20251004_014504,37,7.015756406706001,0.00287032703115897,0.6554304222586514,1683,51,58,2,930.0296926498413,0.0705,5.0,success,
14,2025-10-04 02:16:36,mini_swe_agent_20251004_020034,37,7.363520810542619,0.015821242846556283,0.9364935103693852,2988,60,43,1,962.8294050693512,0.0,0.0,success,
15,2025-10-04 02:40:48,mini_swe_agent_20251004_021637,38,7.877727130429301,0.06600017272206249,0.7799167473422197,3214,58,54,1,1452.705866575241,0.0,0.0,success,
16,2025-10-04 03:01:52,mini_swe_agent_20251004_024049,11,3.183476908144035,0.028306488020794607,0.32158996084274133,3594,51,51,3,1263.8656868934631,0.0,0.0,success,
17,2025-10-04 03:19:49,mini_swe_agent_20251004_030153,14,4.9542857530779765,0.5857592714582879,0.972636173487707,2523,40,56,1,1076.8892576694489,0.0,0.0,success,
18,2025-10-04 03:23:39,mini_swe_agent_20251004_031950,34,5.715024508449202,0.8635418545594287,0.7724094784634662,2506,43,41,1,229.45815587043762,0.0,0.0,success,
19,2025-10-04 03:26:24,mini_swe_agent_20251004_032340,11,3.7524589037426503,0.2257093386078547,0.741690082344409,2518,40,41,3,165.68866658210754,0.0,0.0,success,
20,2025-10-04 03:29:24,mini_swe_agent_20251004_032625,27,4.423052642626933,0.2523257445703234,0.7694432686675836,1212,52,59,3,179.34161043167114,0.0,0.0,success,
21,2025-10-04 03:32:09,mini_swe_agent_20251004_032925,17,6.45638799988111,0.6199557183813798,0.8460828095951608,1074,40,41,2,164.787122964859,0.0,0.0,success,
22,2025-10-04 03:34:56,mini_swe_agent_20251004_033210,28,6.9819600596053695,0.31736240932216075,0.989754538971204,2590,48,51,2,167.07536387443542,0.0,0.0,success,
23,2025-10-04 03:37:53,mini_swe_agent_20251004_033457,30,4.854436903639666,0.06633483442844157,0.4330757781226957,2769,44,55,1,177.53660821914673,0.0,0.0,success,
24,2025-10-04 03:40:39,mini_swe_agent_20251004_033754,18,8.633281946203418,0.19343428262332774,0.6755147927919462,2392,58,45,1,165.5289340019226,0.0,0.0,success,
25,2025-10-04 03:43:24,mini_swe_agent_20251004_034040,32,8.405246206802728,0.907815852503524,0.9387748622771536,562,45,52,3,164.93921494483948,0.0,0.0,success,
